Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
ORD-100000,2022-09-23,2022-09-26,Second Class,CUST-7482,Customer 386,Consumer,United States,Houston,New York,58083,West,PROD-6669,Furniture,Chairs,Product 95,689.99,2,0.05,56.91
ORD-100001,2024-07-09,2024-07-12,Same Day,CUST-2331,Customer 116,Consumer,United States,New York City,Texas,81513,Central,PROD-7165,Technology,Copiers,Product 198,785.54,9,0.05,151.58
ORD-100002,2022-10-21,2022-10-23,Standard Class,CUST-5589,Customer 767,Home Office,United States,Chicago,California,26446,West,PROD-8192,Technology,Copiers,Product 406,123.72,3,0.05,21.5
ORD-100003,2023-10-18,2023-10-25,Same Day,CUST-1827,Customer 585,Home Office,United States,Los Angeles,Texas,74030,Central,PROD-3431,Furniture,Furnishings,Product 130,574.11,9,0.2,0.53
ORD-100004,2024-03-16,2024-03-17,First Class,CUST-2604,Customer 703,Home Office,United States,Los Angeles,California,63273,Central,PROD-9148,Technology,Machines,Product 127,151.03,6,0.1,23.49
ORD-100005,2021-11-17,2021-11-19,First Class,CUST-8301,Customer 807,Corporate,United States,Houston,Illinois,25909,West,PROD-7792,Office Supplies,Accessories,Product 196,283.57,6,0.2,1.96
ORD-100006,2021-05-07,2021-05-13,Second Class,CUST-3003,Customer 636,Corporate,United States,Los Angeles,Florida,43834,West,PROD-4019,Technology,Machines,Product 269,422.1,4,0.05,3.28
ORD-100007,2024-01-11,2024-01-13,First Class,CUST-5848,Customer 245,Corporate,United States,Chicago,California,48324,East,PROD-9903,Technology,Machines,Product 132,247.84,8,0.0,38.72
ORD-100008,2021-05-15,2021-05-22,Second Class,CUST-7854,Customer 890,Corporate,United States,Houston,California,76849,Central,PROD-6093,Office Supplies,Storage,Product 42,271.87,6,0.2,-8.24
ORD-100009,2021-06-27,2021-06-28,First Class,CUST-8960,Customer 785,Consumer,United States,New York City,New York,57414,West,PROD-3667,Furniture,Chairs,Product 295,614.73,5,0.1,66.63
